node,calendar,businessDayConvention,endOfMonthConvention,contractType,statusDate,contractRole,legalEntityIDRecordCreator,contractID,legalEntityIDCounterparty,cycleAnchorDateOfInterestPayment,cycleOfInterestPayment,arrayCycleAnchorDateOfInterestPayment,arrayCycleOfInterestPayment,nominalInterestRate,dayCountConvention,accruedInterest,capitalizationEndDate,cycleAnchorDateOfInterestCalculationBase,cycleOfInterestCalculationBase,interestCalculationBase,interestCalculationBaseAmount,cyclePointOfInterestPayment,currency,amortizationDate,contractDealDate,initialExchangeDate,premiumDiscountAtIED,maturityDate,notionalPrincipal,cycleAnchorDateOfPrincipalRedemption,cycleOfPrincipalRedemption,nextPrincipalRedemptionPayment,arrayCycleAnchorDateOfPrincipalRedemption,arrayCycleOfPrincipalRedemption,arrayNextPrincipalRedemptionPayment,arrayIncreaseDecrease,purchaseDate,priceAtPurchaseDate,terminationDate,priceAtTerminationDate,marketObjectCodeOfScalingIndex,scalingIndexAtStatusDate,cycleAnchorDateOfScalingIndex,cycleOfScalingIndex,scalingEffect,cycleAnchorDateOfRateReset,cycleOfRateReset,rateSpread,arrayCycleAnchorDateOfRateReset,arrayCycleOfRateReset,arrayRate,arrayFixedVariable,marketObjectCodeOfRateReset,cyclePointOfRateReset,fixingDays,rateMultiplier,description,contrStrucObj.marketObjectCode,contrStruc.referenceType,contrStruc.referenceRole
Deposits,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPL,NULL,LDeposit1,,2022-01-01,P1YL0,NULL,NULL,0.005,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,63352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,2022-01-01,P3ML1,-0.01,NULL,NULL,NULL,NULL,YC_2022,B,NULL,1,Interest-bearing deposits,NULL,NULL,NULL
Short-term borrowings,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPL,NULL,AStB1,,2022-01-01,P1YL0,NULL,NULL,0.015,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,2022-01-01,P3ML1,0.01,NULL,NULL,NULL,NULL,YC_2022,B,NULL,1,Short-term borrowings,NULL,NULL,NULL
Long-term debt,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPL,NULL,ALtD1,,2022-01-01,P1YL0,NULL,NULL,0.03,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,2587,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,Other liabilities,NULL,NULL,NULL
Other liabilities,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPL,NULL,LOL1,,2022-01-01,P1YL0,NULL,NULL,0.03,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,2570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,Long-term debt,NULL,NULL,NULL
AFS securities,NOCALENDAR,NULL,SD,PAM,2022-12-31,RPA,NULL,AAFS5,,2023-01-01,P1YL0,NULL,NULL,0.01,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2022-12-31,2023-01-01,0,2028-01-01,388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,AFS securities < 1Y restock,NULL,NULL,NULL
AFS securities,NOCALENDAR,NULL,SD,PAM,2024-12-31,RPA,NULL,AAFS6,,2025-01-01,P1YL0,NULL,NULL,0.018,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2024-12-31,2025-01-01,0,2030-01-01,15194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,AFS securities 1 to 5Y restock,NULL,NULL,NULL
HTM securities,NOCALENDAR,NULL,SD,PAM,2022-12-31,RPA,NULL,AHTM6,,2023-01-01,P1YL0,NULL,NULL,0.01,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2022-12-31,2023-01-01,0,2028-01-01,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,HTM securities - fixed rate < 1Y restock,NULL,NULL,NULL
HTM securities,NOCALENDAR,NULL,SD,PAM,2024-12-31,RPA,NULL,AHTM7,,2025-01-01,P1YL0,NULL,NULL,0.018,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2024-12-31,2025-01-01,0,2030-01-01,580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,B,NULL,1,HTM securities - fixed rate 1 to 5Y restock,NULL,NULL,NULL
Goodwill,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPA,NULL,AGW1,,2022-01-01,P1YL0,NULL,NULL,0.01,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,2022-01-01,P3ML1,0,NULL,NULL,NULL,NULL,YC_2022,B,NULL,1,Goodwill,NULL,NULL,NULL
Other intangible assets,NOCALENDAR,NULL,SD,PAM,2021-12-31,RPA,NULL,AOI1,,2022-01-01,P1YL0,NULL,NULL,0.01,30E360,0,NULL,NULL,NULL,NULL,NULL,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-999999999.00,NULL,-999999999.00,NULL,-999999999,NULL,NULL,NULL,2022-01-01,P3ML1,0,NULL,NULL,NULL,NULL,YC_2022,B,NULL,1,Net other intangible assets,NULL,NULL,NULL
